City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Papara,BR,79.2,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
336,Inhambane,MZ,71.08,light rain,-23.865,35.3833,Oceano
340,Iturama,BR,71.13,clear sky,-19.7281,-50.1956,República DominaCana
344,Bentiu,SS,81.52,overcast clouds,9.2333,29.8333,Mandela hôtel
345,Bull Savanna,JM,77.04,few clouds,17.8868,-77.5902,Big Red's
347,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
349,Padang,ID,79.56,light rain,-0.9492,100.3543,Mercure Padang
366,Veraval,IN,80.65,clear sky,20.9,70.3667,Lords Inn Somnath
367,Moose Factory,CA,71.6,clear sky,51.2585,-80.6094,Moosonee Lilypad
368,Am Timan,TD,89.51,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
369,Camocim,BR,77.97,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
371,Namibe,AO,73.42,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
374,Puerto Maldonado,PE,74.75,scattered clouds,-12.6,-69.1833,Wasai Hotel
376,Takoradi,GH,79.48,light rain,4.8845,-1.7554,Raybow International Hotel
379,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
380,Booue,GA,73.72,light rain,-0.0921,11.9385,Splendeur de l'équateur
381,Ambulu,ID,78.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
384,Vao,NC,73.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
385,Tevaitoa,PF,82.29,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
388,Kathu,TH,86.76,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
389,Correntina,BR,74.77,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
390,Mailag,PH,74.75,overcast clouds,7.9703,125.1375,JRM Family Resort
394,Ende,ID,81.34,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
398,Ugoofaaru,MV,84.76,light rain,5.6667,73.0,Ungoofaaru Inn
407,Monywa,MM,78.4,overcast clouds,22.1167,95.1333,Monywa Hotel
409,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
414,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
417,Bambanglipuro,ID,79.12,overcast clouds,-7.95,110.2833,Puri Brata
420,Banda Aceh,ID,80.55,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
421,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
423,Raisinghnagar,IN,88.81,clear sky,29.5358,73.4492,N.D. Dhingra's Sterling Resorts
424,Sabang,ID,82.92,overcast clouds,5.8933,95.3214,Hotel Citra
425,Belmonte,BR,74.88,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
430,Caravelas,BR,72.18,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
439,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
450,Les Cayes,HT,75.72,clear sky,18.2,-73.75,Villa Orphee
451,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
452,Sao Jose Da Coroa Grande,BR,76.98,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
